16426F3E358350DE DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 10 tacID: 2 Tcoarse: 6F3E Ecoarse: 358 Tfine: 0D4 Efine: 0DE 
1E3B6F8F3A94C509 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 0E tacID: 3 Tcoarse: 6F8F Ecoarse: 3A9 Tfine: 131 Efine: 109 
1E506FE70013D55B DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 6FE7 Ecoarse: 001 Tfine: 0F5 Efine: 15B 
1E386FB63D03D110 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 0E tacID: 0 Tcoarse: 6FB6 Ecoarse: 3D0 Tfine: 0F4 Efine: 110 
1EBB6F5136B29903 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 2E tacID: 3 Tcoarse: 6F51 Ecoarse: 36B Tfine: 0A6 Efine: 103 
169A6F5236C36915 DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 26 tacID: 2 Tcoarse: 6F52 Ecoarse: 36C Tfine: 0DA Efine: 115 
2253680B02537D4D DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 680B Ecoarse: 025 Tfine: 0DF Efine: 14D 
3253680C0263851C DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 680C Ecoarse: 026 Tfine: 0E1 Efine: 11C 
E018246A1B000000 TRAILER: LOCAL L1  FRAMENUM [23:0]: 00C123: GEMROC_ID: 0A TIGER_ID: 3 LOCAL L1 COUNT[2:0]: 3 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
40A0000000000023 Sequence.

C0000000241270C3 HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000024 HitCount: 12 LOCAL L1 TIMESTAMP: 70C3
04536B5C37635998 DATA   : TIGER: 0 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 6B5C Ecoarse: 376 Tfine: 0D6 Efine: 198 
0C536B5D3773C58D DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 6B5D Ecoarse: 377 Tfine: 0F1 Efine: 18D 
14536B5C37637D39 DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 4 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 6B5C Ecoarse: 376 Tfine: 0DF Efine: 139 
26506FE70013C556 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 6FE7 Ecoarse: 001 Tfine: 0F1 Efine: 156 
2EE26F4035A3691A DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 38 tacID: 2 Tcoarse: 6F40 Ecoarse: 35A Tfine: 0DA Efine: 11A 
2E4E6F3034A3A933 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 13 tacID: 2 Tcoarse: 6F30 Ecoarse: 34A Tfine: 0EA Efine: 133 
2EB96F4035A4BD0C DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 2E tacID: 1 Tcoarse: 6F40 Ecoarse: 35A Tfine: 12F Efine: 10C 
2E916F4035A4A113 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID: 24 tacID: 1 Tcoarse: 6F40 Ecoarse: 35A Tfine: 128 Efine: 113 
